"id_jogo","rodada","data","time_mandante","gols_mandante","gols_visitante","time_visitante","detalhes","pontos_mandante","pontos_visitante"
135,12,2003-06-07,"Grêmio",3,1,"Fortaleza","Carlos Miguel 19', Caio Decossau 77', Roberto 84'; Chiquinho 56'",3,0
136,12,2003-06-07,"Atlético-MG",1,1,"Figueirense","Ferrugem 27'; William Fabro 52'",1,1
137,12,2003-06-08,"Criciúma",1,0,"Internacional","Luciano Ferreira 72'",3,0
138,12,2003-06-08,"Juventude",0,0,"Vasco da Gama","",1,1
139,12,2003-06-08,"São Paulo",2,2,"Bahia","Reinaldo Oliveira 8', 76'; Nonato 66', 88'",1,1
140,12,2003-06-08,"Goiás",1,2,"Coritiba","Dimba 70'; Tcheco 9', Marcel 64'",0,3
141,12,2003-06-08,"São Caetano",1,0,"Corinthians","Marcinho 24'",3,0
142,12,2003-06-08,"Paysandu",3,0,"Paraná","Wélber 32', Robgol 36', Iarley 71'",3,0
143,12,2003-06-08,"Atlético-PR",4,2,"Ponte Preta","Rodriguinho 29', Adriano Vieira 67', Dagoberto 73', 85'; Sérgio Alves 11', Vaguinho 84'",3,0
144,12,2003-06-18,"Flamengo",3,0,"Cruzeiro","Zé Carlos 17', Jean Ferreira 19', Jônatas Domingos 66'",3,0
145,13,2003-06-14,"Coritiba",2,0,"Atlético-PR","Marcel 56', Nivaldo 88'",3,0
146,13,2003-06-14,"Fluminense",2,3,"Goiás","Carlos Alberto Jesus 17', Romário 90+1'; Araújo 11', Gil Baiano 20', Dimba 29'",0,3
147,13,2003-06-14,"Ponte Preta",0,2,"Guarani","Rodrigão 34', 58'",0,3
148,13,2003-06-15,"Bahia",2,1,"Vitória","Lino 19', Nonanto 58'; Nadson 34'",3,0
