id,time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,campeonato,data,pontos_mandante,pontos_visitante,detalhes
160,Juventude,0,1,Corinthians,14,2002,Sep 25,0,3, [Renato 64'og]
161,Gama,0,0,Santos,14,2002,Sep 26,1,1,NA
162,Coritiba,2,0,Portuguesa,14,2002,Sep 26,3,0," [Lima 10', 43']"
163,Palmeiras,1,0,Paysandu,14,2002,Sep 26,3,0, [Itamar 70']
164,Flamengo,2,3,Grêmio,14,2002,Sep 26,0,3," [Fábio Baiano 64', Hugo 81'; Gilberto 45+1', Tinga 53', Rodrigo Fabri 55']"
165,Internacional,1,2,Paraná,15,2002,Sep 28,0,3," [Cleitão 4'; Maurílio 6', 16']"
166,Fluminense,2,1,Guarani,15,2002,Sep 28,3,0," [Magno Alves 3', Marcão 8'; Sérgio Alves 86'p]"
167,Bahia,1,2,Botafogo,15,2002,Sep 28,0,3," [Geraldo 36'; Lúcio 85', 88']"
168,Cruzeiro,2,1,Juventude,15,2002,Sep 28,3,0," [Alex 34', Alessandro 63'; Valdo 45']"
169,Atlético-PR,0,1,São Caetano,15,2002,Sep 28,0,3, [Claudecir 22']
170,Vasco da Gama,4,0,Portuguesa,15,2002,Sep 29,3,0," [Geder 26', Valdir Bigode 45+1', 48', Léo Lima 90+1']"
171,São Paulo,2,2,Corinthians,15,2002,Sep 29,1,1," [Reinaldo Oliveira 70', 80'; Gil 57', 90']"
172,Paysandu,5,2,Atlético-MG,15,2002,Sep 29,3,0," [Jóbson 21'p, Luís Fernando 29', Magno 61, Zé Augusto 63', Sandro 71'; Mancini 16', 80']"
173,Ponte Preta,3,1,Flamengo,15,2002,Sep 29,3,0," [Fabrício Carvalho 45+1', 52', Caíco 51; Fábio Baiano 85'p]"
174,Figueirense,2,1,Gama,15,2002,Sep 29,3,0," [Igor 55', 60'; Dimba 70']"
175,Goiás,4,1,Grêmio,15,2002,Sep 29,3,0," [Araújo 41', 72', Neném 47'p, 49'; Rodrigo Fabri 45'p]"
176,Santos,1,1,Palmeiras,15,2002,Sep 29,1,1, [Robinho 21'; Javier Arce 87']
177,Grêmio,3,0,Paysandu,16,2002,Oct 2,3,0," [Rodrigo Fabri 70', 81', 83']"
